industrial-sector	name
S.1	Total economy
S.11	Nonfinancial corporations
S.11001	Public non-financial corporations
S.11002	National private non-financial corporations
S.11003	Foreign controlled non-financial corporations
S.12	Financial corporations
S.121	The central bank
S.122	Other monetary financial institutions
S.12201	Public
S.12202	National private
S.12203	Foreign controlled
S.123	Other financial intermediaries, except insurance corporations and pension funds
S.12301	Public
S.12302	National private
S.12303	Foreign controlled
S.124	Financial auxiliaries
S.12401	Public
S.12402	National private
S.12403	Foreign controlled
S.125	Insurance corporations and pension funds
S.12501	Public
S.12502	National private
S.12503	Foreign controlled
S.13	General government
S.1311	Central government
S.1312	State government
S.1313	Local government
S.1314	Social security funds
S.14	Households
S.141 + S.142	Employers (including own-account workers)
S.143	Employees
S.1441	Recipients of property income
S.1442	Recipients of pensions
S.1443	Recipients of other transfer incomes
S.145	Other households
S.15	Nonprofit institutions serving households
S.2	Rest of the world
S.21	The European Union
S.211	The Member States of the EU
S.212	The institutions of the EU
S.22	Non-member countries and international organisations
